wl,n
1.45,3.487
1.44,3.488
1.43,3.49
1.42,3.492
1.41,3.492
1.4,3.493
1.39,3.496
1.38,3.496
1.37,3.496
1.36,3.497
1.35,3.499
1.34,3.5
1.33,3.501
1.32,3.502
1.31,3.503
1.3,3.505
1.29,3.506
1.28,3.509
1.27,3.509
1.26,3.512
1.25,3.513
1.24,3.515
1.23,3.517
1.22,3.518
1.21,3.52
1.2,3.522
1.19,3.524
1.18,3.526
1.17,3.527
1.16,3.53
1.15,3.533
1.14,3.534
1.13,3.537
1.12,3.54
1.11,3.542
1.1,3.545
1.09,3.547
1.08,3.549
1.07,3.553
1.06,3.556
1.05,3.559
1.04,3.562
1.03,3.565
1.02,3.568
1.01,3.572
1.0,3.575
0.99,3.579
0.98,3.582
0.97,3.578
0.96,3.584
0.95,3.584
0.94,3.59
0.93,3.597
0.92,3.598
0.91,3.604
0.9,3.61
0.89,3.613
0.88,3.617
0.87,3.622
0.86,3.628
0.85,3.636
0.84,3.641
0.83,3.646
0.82,3.655
0.81,3.662
0.8,3.669
0.79,3.677
0.78,3.684
0.77,3.693
0.76,3.701
0.75,3.712
0.74,3.719
0.73,3.73
0.72,3.741
0.71,3.753
0.7,3.765
0.69,3.776
0.68,3.791
0.67,3.805
0.66,3.817
0.65,3.835
0.64,3.851
0.63,3.869
0.62,3.888
0.61,3.908
0.6,3.931
0.59,3.954
0.58,3.977
0.57,4.006
0.56,4.038
0.55,4.073
0.54,4.103
0.53,4.145
0.52,4.187
0.51,4.235
0.5,4.289
0.49,4.349
0.48,4.412
0.47,4.485
0.46,4.572
0.45,4.673
0.44,4.79
0.43,4.932
0.42,5.11
0.41,5.341
0.4,5.623
0.39,6.025
0.38,6.587
0.37,6.82
0.36,5.914
0.35,5.423
0.34,5.245
0.33,5.135
0.32,5.085
0.31,5.091
0.3,5.049
0.29,4.185
0.28,2.84
0.27,2.03
0.26,1.737
0.25,1.637

wl,k
1.45,1.0901e-13
1.44,1.3785e-13
1.43,2.0381e-13
1.42,4.2895e-13
1.41,6.0422e-13
1.4,1.0428e-12
1.39,1.7377e-12
1.38,2.6367e-12
1.37,3.903e-12
1.36,6.2911e-12
1.35,1.0428e-11
1.34,1.8128e-11
1.33,4.2039e-11
1.32,8.7196e-11
1.31,1.5856e-10
1.3,2.7228e-10
1.29,4.4799e-10
1.28,7.5284e-10
1.27,1.2714e-09
1.26,2.3352e-09
1.25,5.8798e-09
1.24,1.4318e-08
1.23,2.7132e-08
1.22,4.794e-08
1.21,8.0863e-08
1.2,1.3904e-07
1.19,2.3153e-07
1.18,5.5561e-07
1.17,1.7653e-06
1.16,3.4275e-06
1.15,5.6876e-06
1.14,8.621e-06
1.13,1.2382e-05
1.12,1.7068e-05
1.11,2.2913e-05
1.1,3.0217e-05
1.09,3.977e-05
1.08,5.2168e-05
1.07,6.782e-05
1.06,9.245e-05
1.05,0.00013043
1.04,0.00017959
1.03,0.00024048
1.02,0.00031437
1.01,0.00039616
1.0,0.0004902
0.99,0.00059638
0.98,0.00071334
0.97,0.0008406
0.96,0.00098243
0.95,0.0011393
0.94,0.0013061
0.93,0.0014757
0.92,0.0016787
0.91,0.0018864
0.9,0.0021092
0.89,0.0023464
0.88,0.0026001
0.87,0.0028697
0.86,0.0031563
0.85,0.0034605
0.84,0.0037828
0.83,0.0041235
0.82,0.0044836
0.81,0.004864
0.8,0.0052655
0.79,0.0056888
0.78,0.0061338
0.77,0.0066054
0.76,0.0070942
0.75,0.0076156
0.74,0.0081618
0.73,0.0087312
0.72,0.0093335
0.71,0.009961
0.7,0.010623
0.69,0.011317
0.68,0.012045
0.67,0.012807
0.66,0.013608
0.65,0.014447
0.64,0.014693
0.63,0.016268
0.62,0.016809
0.61,0.017257
0.6,0.018521
0.59,0.020076
0.58,0.021896
0.57,0.023746
0.56,0.026551
0.55,0.028038
0.54,0.029896
0.53,0.034804
0.52,0.039531
0.51,0.043831
0.5,0.048542
0.49,0.05381
0.48,0.059817
0.47,0.07024
0.46,0.079105
0.45,0.095362
0.44,0.11201
0.43,0.13766
0.42,0.17694
0.41,0.24127
0.4,0.32627
0.39,0.50308
0.38,0.98399
0.37,2.1403
0.36,2.9135
0.35,2.9078
0.34,2.9573
0.33,3.0935
0.32,3.2824
0.31,3.6239
0.3,4.29
0.29,5.3124
0.28,5.1961
0.27,4.5958
0.26,3.9932
0.25,3.5889
